"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1652.t1.CDS10",114.857746803424,4.14767207105628,0.536759602152971,7.72724335888869,1.09900428021512e-14,1.92455043658848e-12
"g2898.t1.CDS4",38.9710574323274,-5.83322573370629,0.766217524346853,-7.61301529703162,2.67774081888341e-14,4.42868578767551e-12
"g2528.t1.CDS3",74.2136043559673,-9.63707297812801,1.27717594018041,-7.54561112133593,4.50171478087458e-14,7.0534762645598e-12
"g1570.t1.CDS10",68.093339912052,-7.3795646948411,1.00806918978287,-7.32049423753405,2.4705932261747e-13,3.67747801716104e-11
"g2746.t1.CDS1",290.419397777593,-3.44019984713525,0.472371811504175,-7.28282205532251,3.26908313393886e-13,4.63431451892189e-11
"g662.t1.CDS1",849.431088055396,9.42984432426155,1.29856287125649,7.26175415375712,3.82102224066728e-13,5.17053782293931e-11
"g17.t1.CDS3",1932.43340212802,-12.06577087149,1.66839650933588,-7.23195643480031,4.76084939702526e-13,6.16219506736704e-11
"g782.t1.CDS4",111.790946380097,-10.1666088857528,1.41055100015189,-7.20754434590314,5.69698898276634e-13,7.06664008403975e-11
"g661.t1.CDS3",77.3642305273985,7.52473385027596,1.05020157005931,7.16503770780977,7.77651461743494e-13,9.26027360644153e-11
"g2456.t1.CDS1",1956.10366208777,9.29282986356565,1.31182751573193,7.08388088534698,1.40172404371698e-12,1.60497403005594e-10
"g2022.t1.CDS7",462.302796578142,-4.96008784737132,0.706043924041731,-7.02518310614079,2.13785697299897e-12,2.35718526245109e-10
"g2022.t1.CDS6",82.0457137899685,-5.02112995538991,0.71776125896578,-6.99554328499818,2.64232987023515e-12,2.80936286560358e-10
"g1652.t1.CDS2",45.3035688264312,4.89578835883773,0.714976451772963,6.84748196489185,7.51611640418792e-12,7.71568225354049e-10
"g1651.t1.CDS3",76.0411342525353,5.45139569752151,0.797581334207707,6.83490882210372,8.20572021166992e-12,8.14280969004711e-10
"g89.t1.CDS3",271.011376489422,-11.3377932561957,1.66180241802169,-6.8225880124142,8.94148138582751e-12,8.58670647922854e-10
"g2812.t1.CDS1",32.1915911068311,-5.07073798027195,0.764823415810247,-6.62994604434287,3.35809595853453e-11,3.12407864642416e-09
"g2717.t1.CDS1",78.7767986580644,3.98849463710134,0.60625435575571,6.57891295829057,4.73900075865171e-11,4.27515310863822e-09
"g571.t1.CDS1",153.828285356577,3.33798578630122,0.50782545103976,6.57309668010294,4.92794370410276e-11,4.31484953150410e-09
"g1652.t1.CDS8",39.8979577724954,5.53704977704811,0.843841726784059,6.56171602007666,5.31920451207557e-11,4.5243633806997e-09
"g405.t1.CDS1",2736.53183094287,8.73938489861963,1.34645010246006,6.49068605115939,8.54463724336797e-11,7.06594029819624e-09
"g1652.t1.CDS4",88.069884279922,4.22690458405246,0.652121391199598,6.48177569559087,9.0649339350138e-11,7.29359684446921e-09
"g2457.t1.CDS1",851.134244349696,8.08529187021973,1.24964341504563,6.47007920249355,9.79515616674764e-11,7.67373155484413e-09
"g2179.t1.CDS2",387.368128847268,-7.32976502197258,1.14104457085266,-6.4237324371083,1.32972846923328e-10,1.01502606484807e-08
"g2714.t1.CDS1",216.617500465054,-4.60311954547733,0.723883756867453,-6.35892089276453,2.03176001822932e-10,1.51213739356717e-08
"g2413.t1.CDS2",40.6932034671021,-8.37291007603747,1.33339583425941,-6.27938820634455,3.39907901877662e-10,2.35326935788326e-08
"g332.t1.CDS4",42.4529782372875,9.01438271477221,1.43423555366388,6.28514799521193,3.27541512846037e-10,2.35326935788326e-08
"g549.t1.CDS4",50.3465044089585,6.48640794320813,1.03244840118883,6.28254926419497,3.33065675991801e-10,2.35326935788326e-08
"g2303.t1.CDS27",60.7920426794004,-6.31012442834767,1.01015270289793,-6.24670350358431,4.19205734196934e-10,2.83630788796426e-08
